freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.180e+02,7.015e+00,1.838e+01,3.434e+02
1.6,1.961e+02,2.156e+01,5.273e+01,2.704e+02
3.1,3.417e+01,2.319e+01,5.579e+01,1.131e+02
4.7,3.717e+02,2.273e+01,5.310e+01,4.475e+02
6.3,1.241e+03,2.578e+01,4.962e+01,1.316e+03
7.8,1.995e+03,2.524e+01,5.234e+01,2.073e+03
9.4,2.885e+03,2.224e+01,5.276e+01,2.960e+03
11.0,3.903e+03,2.377e+01,5.528e+01,3.982e+03
12.5,5.189e+03,2.446e+01,5.476e+01,5.268e+03
14.1,6.695e+03,2.360e+01,5.369e+01,6.772e+03
15.7,8.527e+03,2.411e+01,5.203e+01,8.603e+03
17.2,1.084e+04,2.661e+01,4.954e+01,1.092e+04
18.8,1.365e+04,2.830e+01,4.744e+01,1.372e+04
20.4,1.643e+04,2.688e+01,5.332e+01,1.651e+04
21.9,1.988e+04,3.165e+01,6.255e+01,1.997e+04
23.5,2.464e+04,3.589e+01,6.193e+01,2.474e+04
25.1,2.926e+04,3.957e+01,7.280e+01,2.937e+04
26.6,3.399e+04,3.565e+01,1.062e+02,3.413e+04
28.2,4.108e+04,3.558e+01,1.309e+02,4.125e+04
29.8,5.098e+04,3.673e+01,2.184e+02,5.123e+04
31.4,6.156e+04,3.614e+01,4.262e+02,6.203e+04
32.9,6.560e+04,5.582e+01,4.061e+02,6.607e+04
34.5,6.822e+04,7.636e+01,2.113e+02,6.850e+04
36.1,7.872e+04,1.210e+02,2.183e+02,7.906e+04
37.6,9.712e+04,2.270e+02,6.597e+02,9.801e+04
39.2,1.252e+05,3.565e+02,1.297e+03,1.269e+05
40.8,1.588e+05,5.478e+02,2.274e+03,1.616e+05
42.3,1.917e+05,9.401e+02,4.759e+03,1.974e+05
43.9,2.314e+05,1.712e+03,1.141e+04,2.445e+05
45.5,2.862e+05,2.713e+03,2.361e+04,3.125e+05
47.0,3.763e+05,3.199e+03,3.582e+04,4.153e+05
48.6,5.104e+05,2.496e+03,3.886e+04,5.517e+05
50.2,7.735e+05,1.572e+03,3.469e+04,8.097e+05
51.7,1.087e+06,1.898e+03,2.401e+04,1.113e+06
53.3,1.043e+06,2.631e+03,1.611e+04,1.062e+06
54.9,7.671e+05,2.430e+03,1.271e+04,7.823e+05
56.4,5.266e+05,2.235e+03,1.018e+04,5.390e+05
58.0,3.487e+05,2.368e+03,6.930e+03,3.580e+05
59.6,2.157e+05,2.529e+03,3.697e+03,2.219e+05
61.1,1.764e+05,3.650e+03,1.513e+03,1.816e+05
62.7,1.831e+05,5.147e+03,1.486e+03,1.897e+05
64.3,1.609e+05,4.864e+03,1.966e+03,1.678e+05
65.8,1.349e+05,4.024e+03,1.855e+03,1.407e+05
67.4,1.117e+05,3.306e+03,1.582e+03,1.166e+05
69.0,9.246e+04,2.484e+03,1.161e+03,9.610e+04
70.5,7.292e+04,1.856e+03,8.168e+02,7.559e+04
72.1,5.551e+04,1.373e+03,7.397e+02,5.762e+04
73.7,4.522e+04,9.537e+02,6.868e+02,4.686e+04
75.2,3.803e+04,7.588e+02,6.301e+02,3.942e+04
76.8,3.166e+04,8.215e+02,5.851e+02,3.307e+04
78.4,2.654e+04,9.745e+02,5.768e+02,2.809e+04
79.9,2.355e+04,1.069e+03,5.964e+02,2.522e+04
81.5,2.122e+04,1.210e+03,6.116e+02,2.304e+04
83.1,1.744e+04,1.308e+03,6.693e+02,1.942e+04
84.6,1.172e+04,1.405e+03,8.070e+02,1.393e+04
86.2,8.960e+03,1.647e+03,9.480e+02,1.155e+04
87.8,8.023e+03,2.127e+03,1.008e+03,1.116e+04
89.4,9.167e+03,2.981e+03,1.426e+03,1.357e+04
90.9,1.707e+04,3.865e+03,2.635e+03,2.357e+04
92.5,2.071e+04,3.610e+03,2.760e+03,2.708e+04
94.1,1.958e+04,3.336e+03,2.258e+03,2.518e+04
95.6,1.563e+04,3.195e+03,1.597e+03,2.043e+04
97.2,1.183e+04,3.064e+03,1.444e+03,1.634e+04
98.8,1.197e+04,3.892e+03,2.170e+03,1.804e+04
100.3,1.350e+04,4.583e+03,2.483e+03,2.056e+04
101.9,2.072e+04,4.786e+03,2.787e+03,2.829e+04
103.5,3.265e+04,5.124e+03,3.393e+03,4.116e+04
105.0,4.087e+04,4.916e+03,3.937e+03,4.972e+04
106.6,4.387e+04,2.785e+03,3.777e+03,5.043e+04
108.2,5.473e+04,1.401e+03,4.196e+03,6.033e+04
109.7,8.096e+04,1.255e+03,5.405e+03,8.762e+04
111.3,1.189e+05,1.411e+03,7.044e+03,1.274e+05
112.9,1.491e+05,1.454e+03,8.218e+03,1.588e+05
114.4,1.747e+05,1.592e+03,9.315e+03,1.856e+05
116.0,2.047e+05,1.515e+03,1.037e+04,2.166e+05
117.6,2.364e+05,1.548e+03,1.122e+04,2.492e+05
119.1,2.616e+05,1.610e+03,1.178e+04,2.750e+05
120.7,2.755e+05,1.746e+03,1.178e+04,2.890e+05
122.3,2.871e+05,2.096e+03,1.157e+04,3.008e+05
123.8,2.751e+05,2.405e+03,1.050e+04,2.880e+05
125.4,2.482e+05,2.539e+03,9.275e+03,2.601e+05
127.0,2.293e+05,2.792e+03,8.350e+03,2.404e+05
128.5,2.124e+05,3.179e+03,7.406e+03,2.229e+05
130.1,1.828e+05,3.450e+03,5.919e+03,1.922e+05
131.7,1.541e+05,3.726e+03,4.676e+03,1.625e+05
133.2,1.238e+05,3.774e+03,3.522e+03,1.311e+05
134.8,1.007e+05,3.674e+03,2.597e+03,1.070e+05
136.4,8.843e+04,3.911e+03,2.191e+03,9.453e+04
137.9,7.922e+04,4.549e+03,1.860e+03,8.563e+04
139.5,7.090e+04,5.310e+03,1.579e+03,7.779e+04
141.1,6.531e+04,6.295e+03,1.469e+03,7.307e+04
142.6,6.196e+04,7.415e+03,1.470e+03,7.085e+04
144.2,5.517e+04,7.462e+03,1.583e+03,6.422e+04
145.8,5.581e+04,7.035e+03,1.735e+03,6.458e+04
147.4,5.975e+04,8.094e+03,1.586e+03,6.943e+04
148.9,6.194e+04,1.042e+04,1.573e+03,7.394e+04
150.5,6.200e+04,1.369e+04,1.753e+03,7.744e+04
152.1,6.189e+04,1.764e+04,2.040e+03,8.157e+04
153.6,5.955e+04,1.978e+04,2.087e+03,8.142e+04
155.2,5.587e+04,1.931e+04,1.834e+03,7.701e+04
156.8,5.278e+04,1.829e+04,1.650e+03,7.271e+04
158.3,4.996e+04,1.806e+04,1.763e+03,6.978e+04
159.9,4.559e+04,1.781e+04,1.932e+03,6.533e+04
161.5,3.943e+04,1.676e+04,2.009e+03,5.820e+04
163.0,3.373e+04,1.570e+04,2.113e+03,5.153e+04
164.6,2.792e+04,1.453e+04,2.248e+03,4.470e+04
166.2,2.379e+04,1.362e+04,2.376e+03,3.979e+04
167.7,1.897e+04,1.195e+04,2.349e+03,3.326e+04
169.3,1.476e+04,9.142e+03,2.077e+03,2.598e+04
170.9,1.215e+04,7.418e+03,1.835e+03,2.140e+04
172.4,1.030e+04,7.512e+03,1.940e+03,1.975e+04
174.0,8.165e+03,6.864e+03,1.900e+03,1.693e+04
175.6,6.271e+03,5.755e+03,1.744e+03,1.377e+04
177.1,4.918e+03,4.964e+03,1.607e+03,1.149e+04
178.7,3.907e+03,4.165e+03,1.457e+03,9.529e+03
180.3,2.935e+03,3.197e+03,1.272e+03,7.404e+03
181.8,2.194e+03,2.521e+03,1.129e+03,5.844e+03
183.4,1.932e+03,2.415e+03,1.222e+03,5.570e+03
185.0,1.895e+03,2.929e+03,1.484e+03,6.309e+03
186.5,1.891e+03,3.355e+03,1.702e+03,6.948e+03
188.1,1.890e+03,3.228e+03,1.783e+03,6.901e+03
189.7,1.868e+03,2.975e+03,1.730e+03,6.573e+03
191.2,1.927e+03,2.753e+03,1.723e+03,6.403e+03
192.8,2.197e+03,2.640e+03,1.761e+03,6.597e+03
194.4,2.805e+03,2.617e+03,1.742e+03,7.163e+03
195.9,3.075e+03,2.556e+03,1.677e+03,7.308e+03
197.5,2.892e+03,2.279e+03,1.550e+03,6.721e+03
199.1,2.626e+03,2.044e+03,1.405e+03,6.075e+03
