freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.289e+01,7.709e+01,8.189e+02,9.089e+02
1.6,3.970e+01,6.295e+01,4.924e+02,5.950e+02
3.1,3.986e+01,2.211e+01,5.643e+01,1.184e+02
4.7,4.135e+01,2.152e+01,3.830e+02,4.458e+02
6.3,4.429e+01,2.299e+01,1.249e+03,1.317e+03
7.8,4.609e+01,2.662e+01,2.113e+03,2.186e+03
9.4,4.515e+01,2.664e+01,3.158e+03,3.230e+03
11.0,4.172e+01,2.581e+01,4.398e+03,4.465e+03
12.5,3.158e+01,2.752e+01,6.084e+03,6.143e+03
14.1,3.777e+01,3.643e+01,8.618e+03,8.693e+03
15.7,3.746e+01,5.319e+01,1.173e+04,1.182e+04
17.2,3.939e+01,6.453e+01,1.517e+04,1.527e+04
18.8,4.751e+01,8.676e+01,1.965e+04,1.978e+04
20.4,4.179e+01,1.128e+02,2.442e+04,2.457e+04
21.9,3.581e+01,1.230e+02,3.114e+04,3.130e+04
23.5,4.912e+01,1.565e+02,4.108e+04,4.128e+04
25.1,6.636e+01,2.842e+02,5.385e+04,5.420e+04
26.6,4.476e+01,4.591e+02,7.057e+04,7.108e+04
28.2,3.816e+01,7.290e+02,1.007e+05,1.015e+05
29.8,1.341e+02,1.207e+03,1.444e+05,1.457e+05
31.3,4.929e+02,1.709e+03,1.728e+05,1.750e+05
32.9,5.483e+02,2.843e+03,1.960e+05,1.994e+05
34.5,2.674e+02,5.361e+03,2.939e+05,2.995e+05
36.1,3.085e+02,1.384e+04,6.366e+05,6.508e+05
37.6,7.157e+02,4.123e+04,1.613e+06,1.655e+06
39.2,1.111e+03,5.959e+04,2.280e+06,2.340e+06
40.8,1.416e+03,6.454e+04,2.333e+06,2.399e+06
42.3,2.391e+03,5.428e+04,1.658e+06,1.714e+06
43.9,3.534e+03,4.531e+04,1.210e+06,1.259e+06
45.5,3.756e+03,3.550e+04,8.676e+05,9.069e+05
